Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-8.57191768954824E-10,-0.000317402351265947,0.00624310442116382,0,0,0,0.00242245021807891,3.21390607883172E-07,9.7836623014883E-15,-1.04072352403533E-14,4.23855792975122E-07,-5.87798168447698E-08,2.61421342170984E-07,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,,1-1;3-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thanxe_Link,-1.34173948340699E-09,-0.00471160202617647,0.00913027489544721,0,0,0,0.00154762114268483,2.9987700128236E-07,9.78366230720851E-15,-1.04072352312484E-14,3.43993310638055E-07,-5.95274971269669E-08,1.62203888631105E-07,0,0,0,0,0,0,package://URDF/meshes/thanxe_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/thanxe_Link.STL,,1-1,Coordinate System1,Axis_thanxe_joint,thanxe_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
dexe_Link,-6.93889390390723E-18,0.00745618052720307,0.00113553976172041,0,0,0,0.000874829075394081,2.15136066008119E-08,-4.9436306316123E-25,4.83483938759972E-25,7.98624823370676E-08,7.47680282197207E-10,9.92174535398787E-08,0,0,0,0,0,0,package://URDF/meshes/dexe_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/dexe_Link.STL,,3-1,Coordinate System1,Axis_dexe_joint,dexe_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
banhxe1_Link,0.000871932450713722,-0.000871932450713681,6.93889390390723E-18,0,0,0,0.000243965830582787,3.30833181677862E-09,-9.82694901086297E-10,-1.50741852656873E-25,3.30833181677862E-09,2.4548909608371E-24,2.32563691569232E-09,0,0,0,0,0,0,package://URDF/meshes/banhxe1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/banhxe1_Link.STL,,banhxe-3,Coordinate System2,Axis2,banhxe1_joint,continuous,0.0132071067811865,-0.0132071067811866,0.00049999999999998,0,0,0,base_link,0.707106781186548,-0.707106781186547,0,,,,,,,,,,,,
banhxe2_Link,-0.000895834502252661,-0.000895834502252687,-3.46944695195361E-17,0,0,0,0.000243965830582788,3.30833181677862E-09,9.82694901086296E-10,9.96137263511454E-25,3.30833181677861E-09,-7.86518777193411E-25,2.32563691569232E-09,0,0,0,0,0,0,package://URDF/meshes/banhxe2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/banhxe2_Link.STL,,banhxe-2,Coordinate System3,Axis1,banhxe2_joint,continuous,0.0149748737341529,0.0149748737341529,0.000500000000000021,0,0,0,base_link,0.707106781186546,0.707106781186549,0,,,,,,,,,,,,
banhxe3_Link,0.000895834502252606,0.00089583450225272,-4.16333634234434E-17,0,0,0,0.000243965830582787,3.30833181677861E-09,9.82694901086296E-10,-4.28868964288834E-25,3.30833181677862E-09,3.86888942356593E-25,2.32563691569232E-09,0,0,0,0,0,0,package://URDF/meshes/banhxe3_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/banhxe3_Link.STL,,banhxe-1,Coordinate System4,Axis3,banhxe3_joint,continuous,-0.0149748737341529,-0.0149748737341529,0.000500000000000035,0,0,0,base_link,0.707106781186547,0.707106781186548,0,,,,,,,,,,,,
banhxe4_Link,0.000895834502252592,-0.000895834502252731,-7.63278329429795E-17,0,0,0,0.000243965830582787,3.30833181677861E-09,-9.82694901086294E-10,-7.03610284915588E-25,3.30833181677862E-09,3.41505774479228E-24,2.32563691569232E-09,0,0,0,0,0,0,package://URDF/meshes/banhxe4_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF/meshes/banhxe4_Link.STL,,banhxe-4,Coordinate System5,Axis4,banhxe4_joint,continuous,-0.0149748737341529,0.014974873734153,0.000500000000000084,0,0,0,base_link,-0.707106781186547,0.707106781186548,0,,,,,,,,,,,,
